Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	74036	617435	0.11	0.89
CY010795.1	248	2074	+	199907	288295	0.41	0.59
CY010795.1	347	1960	+	9287	168693	0.05	0.95
CY010794.1	89	2105	+	846867	2198044	0.28	0.72
CY010794.1	99	2121	+	103749	1781623	0.06	0.94
CY010794.1	177	2012	+	166592	1179152	0.12	0.88
CY010794.1	223	1928	+	75172	999987	0.07	0.93
CY010794.1	224	2030	+	289492	671837	0.3	0.7
CY010794.1	224	2030	-	1177	19423	0.06	0.94
CY010794.1	244	1983	+	38735	570789	0.06	0.94
CY010794.1	378	1885	+	127550	276008	0.32	0.68
CY010794.1	378	1885	-	29960	172173	0.15	0.85
CY010793.1	106	1999	+	52678	551291	0.09	0.91
CY010793.1	130	1998	+	38050	397727	0.09	0.91
CY010793.1	195	1946	+	32023	338783	0.09	0.91
CY010793.1	216	1962	+	26365	269845	0.09	0.91
CY010793.1	284	1920	+	38825	174859	0.18	0.82
CY010793.1	358	1793	+	23713	126114	0.16	0.84
CY010793.1	358	1793	-	1771	26300	0.06	0.94
CY010793.1	1855	2015	+	42903	160840	0.21	0.79
CY010792.1	43	516	+	1028521	4368602	0.19	0.81
CY010789.1	40	729	+	1887711	2727475	0.41	0.59
CY010789.1	134	729	+	231410	3922261	0.06	0.94
