Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	20517	281373	0.07	0.93
CY010795.1	248	2074	+	63216	232014	0.21	0.79
CY010794.1	44	1905	-	983	6634	0.13	0.87
CY010794.1	89	2105	+	130220	788255	0.14	0.86
CY010794.1	223	1928	+	34171	557158	0.06	0.94
CY010794.1	224	2030	+	115126	425972	0.21	0.79
CY010794.1	224	2030	-	3554	32609	0.1	0.9
CY010794.1	378	1885	+	72170	246676	0.23	0.77
CY010794.1	378	1885	-	12183	49021	0.2	0.8
CY010793.1	106	1999	+	18492	236379	0.07	0.93
CY010793.1	130	1998	+	11026	172076	0.06	0.94
CY010793.1	284	1920	+	12277	174942	0.07	0.93
CY010793.1	358	1793	+	24482	167755	0.13	0.87
CY010793.1	358	1793	-	6674	37886	0.15	0.85
CY010793.1	1855	2015	+	11901	191159	0.06	0.94
CY010789.1	40	729	+	412664	744478	0.36	0.64
CY010789.1	134	729	+	112435	963153	0.1	0.9
