Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	23699	261750	0.08	0.92
CY010795.1	248	2074	+	82120	134401	0.38	0.62
CY010794.1	44	1905	-	902	13913	0.06	0.94
CY010794.1	89	2105	+	330843	966937	0.25	0.75
CY010794.1	99	2121	+	42785	792930	0.05	0.95
CY010794.1	177	2012	+	47189	589315	0.07	0.93
CY010794.1	223	1928	+	37197	522077	0.07	0.93
CY010794.1	224	2030	+	137531	365852	0.27	0.73
CY010794.1	244	1983	+	18746	327951	0.05	0.95
CY010794.1	378	1885	+	69926	174066	0.29	0.71
CY010794.1	378	1885	-	19109	108210	0.15	0.85
CY010793.1	106	1999	+	12508	190490	0.06	0.94
CY010793.1	130	1998	+	8985	145178	0.06	0.94
CY010793.1	195	1946	+	8468	141617	0.06	0.94
CY010793.1	216	1962	+	8484	121101	0.07	0.93
CY010793.1	284	1920	+	10299	94414	0.1	0.9
CY010793.1	358	1793	+	13120	76962	0.15	0.85
CY010793.1	358	1793	-	4585	40779	0.1	0.9
CY010793.1	1855	2015	+	12290	92678	0.12	0.88
CY010792.1	43	516	+	471894	2298718	0.17	0.83
CY010789.1	40	729	+	862346	1517660	0.36	0.64
CY010789.1	134	729	+	139465	2130408	0.06	0.94
