Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	47766	543151	0.08	0.92
CY010795.1	248	2074	+	103094	320637	0.24	0.76
CY010794.1	89	2105	+	410702	1525856	0.21	0.79
CY010794.1	177	2012	+	73145	1041103	0.07	0.93
CY010794.1	223	1928	+	55217	936185	0.06	0.94
CY010794.1	224	2030	+	209142	689621	0.23	0.77
CY010794.1	224	2030	-	349	4019	0.08	0.92
CY010794.1	378	1885	+	98156	330503	0.23	0.77
CY010794.1	378	1885	-	6704	29204	0.19	0.81
CY010793.1	106	1999	+	52032	534063	0.09	0.91
CY010793.1	130	1998	+	27212	397241	0.06	0.94
CY010793.1	284	1920	+	29004	276748	0.09	0.91
CY010793.1	358	1793	+	29339	217669	0.12	0.88
CY010793.1	358	1793	-	755	10914	0.06	0.94
CY010793.1	1855	2015	+	27021	258284	0.09	0.91
CY010792.1	43	516	+	181694	2341616	0.07	0.93
CY010789.1	40	729	+	1037423	1252167	0.45	0.55
CY010789.1	134	729	+	341190	1557826	0.18	0.82
