Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	32086	427431	0.07	0.93
CY010795.1	248	2074	+	91921	226949	0.29	0.71
CY010794.1	44	1905	-	2736	29076	0.09	0.91
CY010794.1	89	2105	+	464441	1423453	0.25	0.75
CY010794.1	99	2121	+	61185	1141879	0.05	0.95
CY010794.1	177	2012	+	56876	869308	0.06	0.94
CY010794.1	223	1928	+	49510	783205	0.06	0.94
CY010794.1	224	2030	+	184247	565813	0.25	0.75
CY010794.1	378	1885	+	95884	286696	0.25	0.75
CY010794.1	378	1885	-	29414	179032	0.14	0.86
CY010793.1	216	1962	+	10673	202043	0.05	0.95
CY010793.1	284	1920	+	12532	167572	0.07	0.93
CY010793.1	358	1793	+	19805	137501	0.13	0.87
CY010793.1	358	1793	-	6039	46642	0.11	0.89
CY010793.1	1855	2015	+	13295	146391	0.08	0.92
CY010792.1	43	516	+	998140	4162700	0.19	0.81
CY010789.1	40	729	+	1544240	2293818	0.4	0.6
CY010789.1	134	729	+	221764	3593088	0.06	0.94
