Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	18049	238148	0.07	0.93
CY010795.1	248	2074	+	57128	126727	0.31	0.69
CY010794.1	44	1905	-	1436	18632	0.07	0.93
CY010794.1	89	2105	+	272573	813971	0.25	0.75
CY010794.1	99	2121	+	37659	664420	0.05	0.95
CY010794.1	177	2012	+	31889	533039	0.06	0.94
CY010794.1	223	1928	+	32868	485709	0.06	0.94
CY010794.1	224	2030	+	120372	346065	0.26	0.74
CY010794.1	378	1885	+	62480	174352	0.26	0.74
CY010794.1	378	1885	-	19305	123783	0.13	0.87
CY010793.1	216	1962	+	6182	116489	0.05	0.95
CY010793.1	284	1920	+	7216	98326	0.07	0.93
CY010793.1	358	1793	+	11780	81043	0.13	0.87
CY010793.1	358	1793	-	3799	33154	0.1	0.9
CY010793.1	1855	2015	+	8259	88984	0.08	0.92
CY010792.1	43	516	+	543083	2550242	0.18	0.82
CY010789.1	40	729	+	923913	1460774	0.39	0.61
CY010789.1	134	729	+	154332	2178918	0.07	0.93
