Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	71871	609513	0.11	0.89
CY010795.1	248	2074	+	141314	384202	0.27	0.73
CY010794.1	44	1905	-	821	7212	0.1	0.9
CY010794.1	89	2105	+	496002	1918273	0.21	0.79
CY010794.1	177	2012	+	79669	1214297	0.06	0.94
CY010794.1	223	1928	+	61514	1051028	0.06	0.94
CY010794.1	224	2030	+	239410	783076	0.23	0.77
CY010794.1	224	2030	-	949	13639	0.07	0.93
CY010794.1	244	1983	+	37222	706993	0.05	0.95
CY010794.1	378	1885	+	116800	383434	0.23	0.77
CY010794.1	378	1885	-	12644	52828	0.19	0.81
CY010793.1	106	1999	+	59951	581585	0.09	0.91
CY010793.1	130	1998	+	33143	433305	0.07	0.93
CY010793.1	216	1962	+	21242	384841	0.05	0.95
CY010793.1	284	1920	+	30895	304964	0.09	0.91
CY010793.1	358	1793	+	39129	271430	0.13	0.87
CY010793.1	358	1793	-	8144	44255	0.16	0.84
CY010793.1	1855	2015	+	29912	329019	0.08	0.92
CY010792.1	43	516	+	171487	2804510	0.06	0.94
CY010789.1	40	729	+	1245621	1609019	0.44	0.56
CY010789.1	134	729	+	325387	1766500	0.16	0.84
