Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	60209	450357	0.12	0.88
CY010795.1	248	2074	+	156042	182678	0.46	0.54
CY010795.1	347	1960	+	7228	120881	0.06	0.94
CY010794.1	89	2105	+	703915	1550344	0.31	0.69
CY010794.1	99	2121	+	80512	1210426	0.06	0.94
CY010794.1	177	2012	+	128620	794834	0.14	0.86
CY010794.1	223	1928	+	54251	694561	0.07	0.93
CY010794.1	224	2030	+	220022	445471	0.33	0.67
CY010794.1	224	2030	-	882	12567	0.07	0.93
CY010794.1	244	1983	+	28815	371137	0.07	0.93
CY010794.1	324	1874	+	19228	330144	0.06	0.94
CY010794.1	378	1885	+	92766	176251	0.34	0.66
CY010794.1	378	1885	-	26263	130929	0.17	0.83
CY010793.1	106	1999	+	47972	478226	0.09	0.91
CY010793.1	130	1998	+	33064	336202	0.09	0.91
CY010793.1	195	1946	+	28748	286238	0.09	0.91
CY010793.1	216	1962	+	25519	225465	0.1	0.9
CY010793.1	284	1920	+	36333	141491	0.2	0.8
CY010793.1	358	1793	+	19873	89347	0.18	0.82
CY010793.1	358	1793	-	1775	27466	0.06	0.94
CY010793.1	1855	2015	+	35631	111755	0.24	0.76
CY010792.1	43	516	+	571602	2343971	0.2	0.8
CY010789.1	40	729	+	1233985	1698181	0.42	0.58
CY010789.1	134	729	+	151855	2646403	0.05	0.95
