Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	58461	487870	0.11	0.89
CY010795.1	248	2074	+	176530	207947	0.46	0.54
CY010794.1	44	1905	-	2797	31080	0.08	0.92
CY010794.1	89	2105	+	701883	1419451	0.33	0.67
CY010794.1	99	2121	+	91345	1094616	0.08	0.92
CY010794.1	177	2012	+	76240	782438	0.09	0.91
CY010794.1	223	1928	+	53281	713715	0.07	0.93
CY010794.1	224	2030	+	209751	475951	0.31	0.69
CY010794.1	244	1983	+	27616	413776	0.06	0.94
CY010794.1	378	1885	+	102707	226337	0.31	0.69
CY010794.1	378	1885	-	50008	241106	0.17	0.83
CY010793.1	106	1999	+	22319	295744	0.07	0.93
CY010793.1	130	1998	+	16667	216852	0.07	0.93
CY010793.1	195	1946	+	14232	196384	0.07	0.93
CY010793.1	216	1962	+	15373	163685	0.09	0.91
CY010793.1	284	1920	+	16561	128288	0.11	0.89
CY010793.1	358	1793	+	19607	99660	0.16	0.84
CY010793.1	358	1793	-	12991	82021	0.14	0.86
CY010793.1	1855	2015	+	19134	110829	0.15	0.85
CY010792.1	43	516	+	843252	3397059	0.2	0.8
CY010789.1	40	729	+	1680742	2144407	0.44	0.56
CY010789.1	134	729	+	188572	3263252	0.05	0.95
